1;0;0;0.9697;0;0.015152;0.015152
1;0;1;0.057143;0.85;0.028571;0.064286
1;1;0;0;0;0.9953;0.0046985
1;1;1;0;0.0045872;0.20183;0.79358
2;0;0;0.98611;0.013889;0;0
2;0;1;0.041667;0.89167;0.0083333;0.058333
2;1;0;0;0;0.99848;0.0015152
2;1;1;0;0.005291;0.18519;0.80952
3;0;0;0.98684;0;0;0.013158
3;0;1;0.045872;0.87156;0.0091743;0.073394
3;1;0;0;0;0.99631;0.0036928
3;1;1;0;0;0.19753;0.80247
4;0;0;1;0;0;0
4;0;1;0.031579;0.92632;0.010526;0.031579
4;1;0;0;0;0.99711;0.0028944
4;1;1;0;0;0.15972;0.84028
5;0;0;0.9759;0.024096;0;0
5;0;1;0.011364;0.97727;0;0.011364
5;1;0;0;0;0.99501;0.0049929
5;1;1;0;0;0.20313;0.79688
6;0;0;0.9878;0.012195;0;0
6;0;1;0.045455;0.88636;0.011364;0.056818
6;1;0;0.00070373;0;0.99367;0.0056298
6;1;1;0;0;0.43636;0.56364
7;0;0;1;0;0;0
7;0;1;0;0.92405;0.037975;0.037975
7;1;0;0;0;0.99726;0.0027379
7;1;1;0;0.013333;0.17333;0.81333
8;0;0;1;0;0;0
8;0;1;0.027027;0.89189;0.027027;0.054054
8;1;0;0;0;0.99728;0.0027155
8;1;1;0;0;0.20588;0.79412
9;0;0;0.97727;0.022727;0;0
9;0;1;0.030303;0.89394;0.030303;0.045455
9;1;0;0;0;0.99461;0.0053872
9;1;1;0;0;0.22581;0.77419
10;0;0;1;0;0;0
10;0;1;0.04918;0.83607;0.032787;0.081967
10;1;0;0;0;0.99866;0.0013396
10;1;1;0;0;0.16949;0.83051
11;0;0;0.98901;0.010989;0;0
11;0;1;0.039216;0.86275;0.039216;0.058824
11;1;0;0;0;0.99601;0.003992
11;1;1;0;0;0.21429;0.78571
12;0;0;0.98913;0;0.01087;0
12;0;1;0.066667;0.86667;0;0.066667
12;1;0;0;0;0.99603;0.0039709
12;1;1;0;0;0.37736;0.62264
13;0;0;0.97872;0.010638;0;0.010638
13;0;1;0.051282;0.92308;0.025641;0
13;1;0;0;0;0.99476;0.0052425
13;1;1;0;0;0.11905;0.88095
14;0;0;1;0;0;0
14;0;1;0.081081;0.91892;0;0
14;1;0;0;0;0.99672;0.0032808
14;1;1;0;0;0.30435;0.69565
15;0;0;1;0;0;0
15;0;1;0;0.88235;0.058824;0.058824
15;1;0;0;0;0.99804;0.0019569
15;1;1;0;0;0.24324;0.75676
16;0;0;1;0;0;0
16;0;1;0.066667;0.7;0.066667;0.16667
16;1;0;0;0;0.9974;0.0025957
16;1;1;0;0;0.12121;0.87879
17;0;0;1;0;0;0
17;0;1;0;1;0;0
17;1;0;0;0;0.99222;0.0077771
17;1;1;0;0;0.39474;0.60526
18;0;0;0.9899;0.010101;0;0
18;0;1;0.047619;0.80952;0.047619;0.095238
18;1;0;0;0;0.99353;0.0064683
18;1;1;0;0;0.34286;0.65714
19;0;0;1;0;0;0
19;0;1;0.055556;0.94444;0;0
19;1;0;0;0;0.99548;0.004519
19;1;1;0;0;0.37143;0.62857
20;0;0;1;0;0;0
20;0;1;0;1;0;0
20;1;0;0;0;0.99614;0.0038585
20;1;1;0;0.034483;0.27586;0.68966
21;0;0;1;0;0;0
21;0;1;0.055556;0.94444;0;0
21;1;0;0;0;0.99807;0.0019268
21;1;1;0;0;0.34615;0.65385
22;0;0;0.9901;0.009901;0;0
22;0;1;0;0.94118;0;0.058824
22;1;0;0;0;0.99936;0.0006398
22;1;1;0;0;0.05;0.95
23;0;0;1;0;0;0
23;0;1;0;0.94118;0;0.058824
23;1;0;0;0;0.9968;0.003199
23;1;1;0;0;0.28571;0.71429
24;0;0;1;0;0;0
24;0;1;0;0.94118;0;0.058824
24;1;0;0;0;0.9968;0.003199
24;1;1;0;0;0.28571;0.71429
25;0;0;1;0;0;0
25;0;1;0;0.85714;0;0.14286
25;1;0;0;0;0.99546;0.0045366
25;1;1;0;0;0.25;0.75
26;0;0;1;0;0;0
26;0;1;0;1;0;0
26;1;0;0;0;0.99416;0.0058442
26;1;1;0;0;0.40909;0.59091
27;0;0;0.99174;0.0082645;0;0
27;0;1;0;1;0;0
27;1;0;0;0;0.99351;0.0064935
27;1;1;0;0;0.45455;0.54545
28;0;0;0.99167;0;0;0.0083333
28;0;1;0.10526;0.89474;0;0
28;1;0;0;0;0.99675;0.0032468
28;1;1;0;0;0.36364;0.63636
29;0;0;0.98347;0.016529;0;0
29;0;1;0.058824;0.94118;0;0
29;1;0;0;0;0.99093;0.0090732
29;1;1;0.05;0;0.2;0.75
30;0;0;0.96694;0.033058;0;0
30;0;1;0;1;0;0
30;1;0;0;0;0.9863;0.013699
30;1;1;0;0;0.27586;0.72414
31;0;0;0.99145;0.008547;0;0
31;0;1;0.045455;0.90909;0;0.045455
31;1;0;0;0;0.99013;0.0098684
31;1;1;0;0;0.14286;0.85714
32;0;0;1;0;0;0
32;0;1;0.047619;0.85714;0;0.095238
32;1;0;0;0;0.99206;0.0079418
32;1;1;0;0.038462;0.34615;0.61538
33;0;0;0.99153;0.0084746;0;0
33;0;1;0;0.95;0;0.05
33;1;0;0;0;0.98682;0.013184
33;1;1;0;0.065217;0.21739;0.71739
34;0;0;1;0;0;0
34;0;1;0;1;0;0
34;1;0;0;0;0.99602;0.0039814
34;1;1;0;0.055556;0.12963;0.81481
35;0;0;0.96581;0.034188;0;0
35;0;1;0;1;0;0
35;1;0;0;0;0.98408;0.015915
35;1;1;0;0.12;0.06;0.82
36;0;0;0.97345;0.026549;0;0
36;0;1;0.055556;0.94444;0;0
36;1;0;0;0;0.96974;0.030262
36;1;1;0;0.061538;0.13846;0.8
37;0;0;0.98214;0.017857;0;0
37;0;1;0;0.97561;0;0.02439
