0;0;0.038800705;0.010945274;0.004354136;0.002252252;0.0078125;0
0;1;0.082304527;0.011442786;0.007256894;0;0;0
0;2;0;0.045273632;0.010159652;0;0;0
0;3;0;0;0.010159652;0.002252252;0;0
0;4;0;0;0;0.006756757;0;0
0;5;0;0;0;0;0;0
0;6;0;0;0;0;0;0
1;0;0.750734862;0.03880597;0.005805515;0.006756757;0;0
1;1;0.128159906;0.052238806;0.014513788;0.009009009;0;0
1;2;0;0.02238806;0.030478955;0.009009009;0.015625;0
1;3;0;0;0.01161103;0.011261261;0.0078125;0
1;4;0;0;0;0.006756757;0;0
1;5;0;0;0;0;0;0
1;6;0;0;0;0;0;0
2;0;0;0.650746269;0.07256894;0.018018018;0;0
2;1;0;0.112935323;0.136429608;0.02027027;0.015625;0
2;2;0;0.055223881;0.023222061;0.042792793;0;0
2;3;0;0;0.017416546;0.027027027;0.03125;0.027777778
2;4;0;0;0;0.013513514;0.0078125;0
2;5;0;0;0;0;0.015625;0
2;6;0;0;0;0;0;0.027777778
3;0;0;0;0.449927431;0.074324324;0.015625;0
3;1;0;0;0.134978229;0.078828829;0.03125;0.027777778
3;2;0;0;0.055152395;0.024774775;0.0234375;0.027777778
3;3;0;0;0.015965167;0.02027027;0.03125;0
3;4;0;0;0;0.002252252;0;0
3;5;0;0;0;0;0.015625;0
3;6;0;0;0;0;0;0
4;0;0;0;0;0.459459459;0.0546875;0
4;1;0;0;0;0.114864865;0.09375;0.055555556
4;2;0;0;0;0.031531532;0.0546875;0.027777778
4;3;0;0;0;0.013513514;0.0546875;0.055555556
4;4;0;0;0;0.004504505;0.0078125;0
4;5;0;0;0;0;0;0
4;6;0;0;0;0;0;0
5;0;0;0;0;0;0.3359375;0.194444444
5;1;0;0;0;0;0.109375;0.027777778
5;2;0;0;0;0;0.03125;0.027777778
5;3;0;0;0;0;0.0234375;0
5;4;0;0;0;0;0;0.027777778
5;5;0;0;0;0;0.015625;0.027777778
5;6;0;0;0;0;0;0
6;0;0;0;0;0;0;0.333333333
6;1;0;0;0;0;0;0.027777778
6;2;0;0;0;0;0;0.055555556
6;3;0;0;0;0;0;0
6;4;0;0;0;0;0;0.027777778
6;5;0;0;0;0;0;0
6;6;0;0;0;0;0;0
